user_id,name,meal_type,kcal,protein_g,carbs_g,fat_g,fiber_g,prep_minutes,notes
9594cac3-4b41-43f5-b822-40045559237c,Pollo con salsa de coco,pool,480,60,10,25,2,30,"Personas en origen: 4. Seleccionar el programa Stir Fry. Pulsar el temporizador en la pantalla y girar la perilla del panel de control para programar 8 minutos. Pulsar Start. Añadir el aceite vegetal y dorar el pollo por todos los lados durante 3 minutos, hasta que esté dorado (en tandas, si es necesario). Apartar. Añadir las cebollas, el ajo y el pimiento rojo y cocinar durante 5 minutos. Pasado este tiempo, añadir el resto de los ingredientes, excepto el cilantro. Remover. Volver a colocar el pollo en la olla. Cerrar y bloquear la tapa y seleccionar el programa Whole Meat. Pulsar el temporizador en la pantalla y girar la perilla del panel de control para programar 6 minutos. Pulsar Start. Pasado este tiempo, desbloquear la válvula de vapor para despresurizar antes de abrir la tapa. Incorporar el cilantro picado y servir caliente con arroz blanco o plátano frito."
9594cac3-4b41-43f5-b822-40045559237c,Ternera y patatas con queso,pool,880,55,45,55,4,35,"Personas en origen: 4. Sazonar la carne con sal y pimienta. Cocinar los filetes en una sartén a fuego alto hasta obtener el punto de cocción deseado. Añadir las patatas, el agua, la nata, la sal y la pimienta a la olla. Cerrar y bloquear la tapa y seleccionar el programa Rice. Pulsar el temporizador en la pantalla y girar la perilla del panel de control para programar 8 minutos. Pulsar Start. Pasado este tiempo, desbloquear la válvula de vapor para despresurizar antes de abrir la tapa. Añadir el queso. Poner los filetes encima. Cerrar la tapa sin bloquearla. Dejar reposar durante 5 minutos para que se derrita el queso."
9594cac3-4b41-43f5-b822-40045559237c,Pollo picante Vindaloo,pool,280,22,6,20,1.3,45,"Personas en origen: 4. Seleccionar el programa Stir Fry. Pulsar el temporizador y girar la perilla del panel de control para programar 6 minutos. Pulsar el selector de temperatura y girar la perilla del panel de control hasta alcanzar los 140 °C. Pulsar Start. Calentar el aceite vegetal y dorar la cebolla, el ajo y la ternera picada. Después de 1 minuto, añadir el vinagre, los tomates, la sal y las especias, excepto la cúrcuma. Remover para mezclarlo todo. Cuando acabe el tiempo, añadir el pollo, el agua y la cúrcuma a la olla. Remover para cubrir el pollo con la salsa. Dejar marinar el pollo en la olla abierta durante al menos 30 min. Cerrar y bloquear la tapa y seleccionar el programa Stew. Pulsar el temporizador en la pantalla y girar la perilla del panel de control para programar 15 minutos. Pulsar Start. Pasado este tiempo, desbloquear la válvula de vapor para despresurizar antes de abrir la tapa."
9594cac3-4b41-43f5-b822-40045559237c,Rosbif a fuego lento,pool,560,55,18,28,2,390,"Personas en origen: 4. Untar la carne con un poco de aceite y salpimentar bien. En un bol, añadir las zanahorias y las cebollas con la mitad de la harina de maíz. Remover para que las verduras queden bien cubiertas. Apartar. Seleccionar el programa Stir Fry. Pulsar el temporizador en la pantalla y girar la perilla del panel de control para programar 10 minutos. Pulsar Start. Calentar el aceite vegetal y dorar la carne por todos lados durante 4 min. Añadir las zanahorias, las cebollas, el caldo de carne, el vino tinto, el puré de tomate y el azúcar, asegurándose de que la carne quede cubierta en su mayor parte por el líquido. Dejar cocinar a fuego lento durante 6 min. Cuando termine el tiempo, cerrar la tapa sin bloquearla y seleccionar el programa Slow Cook. Pulsar el temporizador en la pantalla y girar la perilla del panel de control para programar 6 horas. Pulsar el selector de temperatura y girar la perilla del panel de control hasta alcanzar los 80 °C. Pulsar Start. Cuando acabe el tiempo, abrir la tapa con cuidado, sacar la carne y cubrirla con papel de aluminio para mantenerla caliente. Dejar reposar la carne durante 30 minutos. Seleccionar el programa Stir Fry. Pulsar el temporizador en la pantalla y girar la perilla del panel de control para programar 5 minutos. Pulsar Start. Dejar reducir el líquido restante y llevar los ingredientes a una consistencia de salsa, añadiendo la harina de maíz restante para espesar (retirar un poco de líquido, mezclar con la harina de maíz para hacer una pasta y volver a añadirla a la salsa). Cortar la ternera con un cuchillo afilado y cubrirla con abundante y deliciosa salsa de vino tinto."
9594cac3-4b41-43f5-b822-40045559237c,Cazuela de ternera y cerveza,pool,430,38,20,22,3,45,"Personas en origen: 4. Seleccionar el programa Stir Fry. Pulsar el temporizador y girar la perilla del panel de control para programar 5 minutos. Pulsar el selector de temperatura y girar la perilla del panel de control hasta alcanzar los 140 °C. Pulsar Start. Calentar el aceite vegetal y dorar la ternera y la cebolla, removiendo con frecuencia. Pasado este tiempo, añadir el resto de los ingredientes. Remover bien para mezclarlo todo. Cerrar y bloquear la tapa y seleccionar el programa Stew. Pulsar el temporizador en la pantalla y girar la perilla del panel de control para programar 30 minutos. Pulsar Start. Pasado este tiempo, desbloquear la válvula de vapor para despresurizar antes de abrir la tapa. Retirar la hoja de laurel y el tomillo. Añadir la harina de maíz para espesar. Sazonar al gusto y servir."
9594cac3-4b41-43f5-b822-40045559237c,Estofado de lentejas con chorizo,pool,420,22,48,16,9,40,"Personas en origen: 4. Seleccionar el programa Stir Fry. Pulsar el temporizador en la pantalla y girar la perilla del panel de control para programar 5 minutos. Pulsar Start. Calentar el aceite vegetal y dorar la cebolla, el ajo, el chorizo y el pimiento durante 5 minutos. Pasado este tiempo, añadir el resto de los ingredientes. Cerrar y bloquear la tapa y seleccionar el programa Whole Meat. Pulsar el temporizador en la pantalla y girar la perilla del panel de control para programar 7 minutos. Pulsar Start. Pasado este tiempo, desbloquear la válvula de vapor para despresurizar antes de abrir la tapa."
9594cac3-4b41-43f5-b822-40045559237c,Albóndigas de ternera,pool,520,38,18,32,3,35,"Personas en origen: 4. Mezclar el huevo con el pan rallado, la ternera picada y las especias. Formar bolas con la masa. Añadir todos los ingredientes (excepto el cavolo nero/col rizada). Remover bien y colocar las albóndigas en la olla de cocción. Cerrar y bloquear bien la tapa. Seleccionar el programa Whole Meat. Pulsar el temporizador en la pantalla y girar la perilla del panel de control para programar 5 minutos. Pulsar Start. Pasado este tiempo, desbloquear la válvula de vapor para despresurizar antes de abrir la tapa. Añadir el cavolo nero/col rizada. Cerrar la tapa y esperar 1 minuto."
9594cac3-4b41-43f5-b822-40045559237c,Sano y sabroso arroz al curry con garbanzos y tofu mas carne,pool,650,42,62,28,8,30,"Personas en origen: 4. Añadir todos los ingredientes a la olla. Remover bien para mezclarlo todo. Salpimentar. Cerrar y bloquear bien la tapa. Seleccionar el programa Rice. Pulsar sobre el temporizador en la pantalla y girar la perilla del panel de control para programar 8 minutos. Pulsar Start. Pasado este tiempo, desbloquear la válvula de vapor para despresurizar antes de abrir la tapa. Remover bien, servir y disfrutar. Care a la plancha"
9594cac3-4b41-43f5-b822-40045559237c,pastel de Carne,pool,580,36,35,32,4,60,Personas en origen: 4. no hace falta
9594cac3-4b41-43f5-b822-40045559237c,pollo a la pimienta,pool,540,45,40,22,3,35,Personas en origen: 4. no hace falta
